DATE,MORTPTS30US
1971-05-28,1.00
1971-06-03,.
1971-06-10,.
1971-06-18,1.20
1971-06-24,.
1971-07-01,.
1971-07-08,.
1971-07-16,1.20
1971-07-22,.
1971-07-29,.
1971-08-05,.
1971-08-12,.
1971-08-20,1.30
1971-08-26,.
1971-09-02,.
1971-09-09,.
1971-09-17,1.10
1971-09-23,.
1971-09-30,.
1971-10-07,.
1971-10-14,.
1971-10-22,1.10
1971-10-28,.
1971-11-04,.
1971-11-11,.
1971-11-19,1.00
1971-11-25,.
1971-12-02,.
1971-12-09,.
1971-12-16,.
1971-12-23,.
1971-12-31,1.00
1972-01-07,1.00
1972-01-14,0.90
1972-01-21,1.00
1972-01-28,0.90
1972-02-04,0.90
1972-02-11,0.90
1972-02-18,0.90
1972-02-25,0.90
1972-03-03,0.90
1972-03-10,1.00
1972-03-17,0.90
1972-03-24,0.90
1972-03-31,0.90
1972-04-07,0.90
1972-04-14,0.90
1972-04-21,0.90
1972-04-28,1.00
1972-05-05,0.80
1972-05-12,0.90
1972-05-19,0.90
1972-05-26,0.90
1972-06-02,1.00
1972-06-09,1.00
1972-06-16,0.90
1972-06-23,0.90
1972-06-30,0.80
1972-07-07,0.90
1972-07-14,0.90
1972-07-21,0.90
1972-07-28,1.00
1972-08-04,0.90
1972-08-11,0.90
1972-08-18,0.90
1972-08-25,0.90
1972-09-01,1.00
1972-09-08,0.90
1972-09-15,0.90
1972-09-22,1.00
1972-09-29,1.00
1972-10-06,0.90
1972-10-13,0.90
1972-10-20,1.00
1972-10-27,1.00
1972-11-03,1.00
1972-11-10,1.00
1972-11-17,1.00
1972-11-24,0.90
1972-12-01,1.00
1972-12-08,1.00
1972-12-15,1.00
1972-12-22,1.00
1972-12-29,0.90
1973-01-05,0.90
1973-01-12,0.90
1973-01-19,0.90
1973-01-26,0.90
1973-02-02,0.90
1973-02-09,1.00
1973-02-16,0.90
1973-02-23,1.00
1973-03-02,1.00
1973-03-09,0.90
1973-03-16,0.90
1973-03-23,0.90
1973-03-30,0.90
1973-04-06,1.00
1973-04-13,0.90
1973-04-20,0.90
1973-04-27,0.90
1973-05-04,0.90
1973-05-11,0.90
1973-05-18,0.90
1973-05-24,0.90
1973-06-01,0.90
1973-06-08,0.90
1973-06-15,0.90
1973-06-22,0.90
1973-06-29,0.90
1973-07-06,0.90
1973-07-13,1.00
1973-07-20,0.90
1973-07-27,1.00
1973-08-03,1.00
1973-08-10,1.10
1973-08-17,1.00
1973-08-24,1.00
1973-08-31,1.10
1973-09-07,1.10
1973-09-14,1.10
1973-09-21,1.10
1973-09-28,1.10
1973-10-05,1.10
1973-10-12,1.10
1973-10-19,1.00
1973-10-26,1.00
1973-11-02,1.00
1973-11-09,1.00
1973-11-16,1.00
1973-11-23,1.00
1973-11-30,1.00
1973-12-07,1.00
1973-12-14,1.00
1973-12-21,1.00
1973-12-28,1.00
1974-01-04,1.00
1974-01-11,1.00
1974-01-18,1.00
1974-01-25,1.00
1974-02-01,1.00
1974-02-08,1.00
1974-02-15,1.00
1974-02-22,1.00
1974-03-01,1.00
1974-03-08,1.00
1974-03-15,1.00
1974-03-22,1.00
1974-03-29,1.00
1974-04-05,1.00
1974-04-12,1.00
1974-04-19,1.00
1974-04-26,1.00
1974-05-03,1.00
1974-05-10,1.00
1974-05-17,1.10
1974-05-24,1.10
1974-05-31,1.20
1974-06-07,1.20
1974-06-14,1.10
1974-06-21,1.20
1974-06-28,1.30
1974-07-05,1.30
1974-07-12,1.30
1974-07-19,1.20
1974-07-26,1.20
1974-08-02,1.30
1974-08-09,1.30
1974-08-16,1.20
1974-08-23,1.30
1974-08-30,1.30
1974-09-06,1.40
1974-09-13,1.40
1974-09-20,1.40
1974-09-27,1.40
1974-10-04,1.50
1974-10-11,1.50
1974-10-18,1.50
1974-10-25,1.50
1974-11-01,1.50
1974-11-08,1.40
1974-11-15,1.30
1974-11-22,1.30
1974-11-29,1.40
